targets: 2789,2794,2795,2796,2797,2798,2799,2800,2801,2802,2803,2804,2805,2806,2807,2808,2809,2810,2811,2812,2813,2814,2815,2816,2817,2818,2819,2820,2821,2822,2823,2824,2825,2826,2827,2828,2829,2830,2831,2832,2833,2834,2835,2836,2837,2838,2839,2840
                  SYSCALL      TIME IN MS      COUNT
                    futex         1031218       1040
          sync_file_range          343486        762
                fdatasync          119783        229
                    fsync           17994        131
                    write           14205       7295
                    pread            3242        655
                   openat            1373        510
                   munmap              64         51
                    lstat               8       3315
                 mprotect               4        308
------------
