targets: 16167,16172,16173,16174,16175,16176,16177,16178,16179,16180,16181,16182,16183,16184,16185,16186,16187,16188,16189,16190,16191,16192,16193,16194,16195,16196,16197,16198,16199,16200,16201,16202,16203,16204,16205,16206,16207,16208,16209,16210,16211,16212,16213,16214,16215,16216,16217,16218,16219,16220,16221,16222,16223,16224,16225,16226
                  SYSCALL      TIME IN MS      COUNT
                    futex          542337        974
          sync_file_range          419619        777
                fdatasync          110246        226
                    write           13710       7412
                    fsync            6485        134
                    pread            2499        665
                   openat             824        522
                   munmap              79         88
                 mprotect              22        335
                    lstat               7       3393
------------
