targets: 15260,15265,15266,15267,15268,15269,15270,15271,15272,15273,15274,15275,15276,15277,15278,15279,15280,15281,15282,15283,15284,15285,15286,15287,15288,15289,15290,15291,15292,15293,15294,15295,15296,15297,15298,15299,15300,15301,15302,15303
                  SYSCALL      TIME IN MS      COUNT
                    futex          967076        933
          sync_file_range          292103        748
                fdatasync          124308        217
                    fsync           13566        126
                    write           10532       7128
                    pread            4544        630
                   openat             624        498
                   munmap              42         16
                    lstat               7       3237
                 mprotect               1        275
------------
