targets: 13837,13842,13843,13844,13845,13846,13847,13848,13849,13850,13851,13852,13853,13854,13855,13856,13857,13858,13859,13860
                  SYSCALL      TIME IN MS      COUNT
                    futex          513096        952
          sync_file_range          395692        764
                fdatasync          139137        225
                    write           14803       7303
                    fsync           11048        132
                    pread            2952        660
                   munmap              43         60
                   openat              16        514
                fallocate              12          3
                    lstat               6       3341
------------
