targets: 13008,13013,13014,13015,13016,13017,13018,13019,13020,13021,13022,13023,13024,13025
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          320341        718
                    futex          140778        829
                fdatasync           87749        222
                    write           14353       6896
                    pread            2612        615
                    fsync            2273        123
                   openat              44        478
                   munmap              39         29
                    lstat              33       3107
                     read              13        239
------------
