targets: 15878,15883,15884,15885,15886,15887,15888,15889,15890,15891,15892,15893,15894,15895,15896,15897,15898,15899,15900,15901,15902,15903,15904,15905,15906,15907,15908,15909,15910,15911,15912,15913,15914,15915,15916,15917,15918,15919,15920,15921,15922,15923,15924,15925,15926,15927,15928,15929
                  SYSCALL      TIME IN MS      COUNT
                    futex          844091        926
          sync_file_range          356930        775
                fdatasync          102523        228
                    write           15087       7403
                    fsync           13548        134
                    pread            1291        665
                   munmap              39         75
                   openat              33        522
                 mprotect              11        336
                    lstat               7       3393
------------
