targets: 15550,15555,15556,15557,15558,15559,15560,15561,15562,15563,15564,15565,15566,15567,15568,15569,15570,15571,15572,15573,15574,15575,15576,15577,15578,15579,15580,15581,15582,15583,15584,15585,15586,15587,15588,15589,15590,15591,15592,15593,15594,15595,15596,15597
                  SYSCALL      TIME IN MS      COUNT
                    futex         1118029        950
          sync_file_range          367654        774
                fdatasync          125520        226
                    write           18237       7383
                    fsync            4669        134
                    pread            2987        665
                   munmap              43         80
                    lstat              19       3393
                   openat              18        522
                 mprotect              14        318
------------
