targets: 16479,16484,16485,16486,16487,16488,16489,16490,16491,16492,16493,16494,16495,16496,16497,16498,16499,16500,16501,16502,16503,16504,16505,16506,16507,16508,16509,16510,16511,16512,16513,16514,16515,16516,16517,16518,16519,16520,16521,16522,16523,16524,16525,16526,16527,16528,16529,16530,16531,16532,16533,16534,16535,16536,16537,16538,16539,16540,16541,16542,16543,16544,16545,16546
                  SYSCALL      TIME IN MS      COUNT
                    futex         1211677        934
          sync_file_range          266781        696
                fdatasync           66397        210
                    write            8416       6668
                   openat            4648        470
                    fsync            2649        121
                    pread             549        605
                   unlink              27          4
                   munmap              11          9
                    lstat               7       3055
------------
