targets: 25292,25297,25298,25299,25300,25301,25302,25303,25304,25305,25306,25307,25308,25309,25310,25311,25312,25313,25314,25315,25316,25317,25318,25319,25320,25321,25322,25323
                  SYSCALL      TIME IN MS      COUNT
                    futex          802405        890
          sync_file_range          577772        849
                fdatasync           99724        214
                    write           20176       7056
                    pread            5787        630
                    fsync            4747        126
                   openat              28        490
                   munmap              12         11
                    lstat               6       3185
                 mprotect               4        253
------------
