targets: 21041,21046,21047,21048,21049,21050,21051,21052,21053,21054,21055,21056,21057,21058,21059,21060,21061,21062,21063,21064,21065,21066,21067,21068,21069,21070,21071,21072
                  SYSCALL      TIME IN MS      COUNT
                    futex          357336        957
          sync_file_range          290497        731
                fdatasync          131174        219
                    fsync           23038        127
                    write           17897       6996
                    pread            6725        635
                   openat              26        494
                   munmap              14         19
                    lstat               7       3211
                 mprotect               3        260
------------
