targets: 21316,21321,21322,21323,21324,21325,21326,21327,21328,21329,21330,21331,21332,21333,21334,21335,21336,21337,21338,21339,21340,21341,21342,21343,21344,21345,21346,21347,21348,21349,21350,21351
                  SYSCALL      TIME IN MS      COUNT
                    futex          488890        848
          sync_file_range          363518        704
                fdatasync          116733        209
                    fsync           18941        121
                    write           15709       6717
                    pread            7212        605
                   openat             801        472
                    lstat              17       3068
                   munmap               6          6
                 readlink               1        236
------------
