targets: 22178,22183,22184,22185,22186,22187,22188,22189,22190,22191,22192,22193,22194,22195,22196,22197,22198,22199,22200,22201,22202,22203,22204,22205,22206,22207,22208,22209,22210,22211,22212,22213,22214,22215,22216,22217,22218,22219,22220,22221,22222,22223,22224,22225
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          337875        744
                    futex          300681        972
                fdatasync          102723        220
                    write           20876       7123
                    fsync           10432        129
                   openat            2184        502
                    pread            1910        645
                   munmap              27         26
                    lstat               7       3263
                 readlink               1        251
------------
