targets: 20771,20776,20777,20778,20779,20780,20781,20782,20783,20784,20785,20786,20787,20788,20789,20790,20791,20792,20793,20794,20795,20796,20797,20798
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          343424        731
                    futex          308811        895
                fdatasync          124898        214
                    write           13449       6992
                    fsync            6089        125
                    pread            1521        625
                   openat             840        490
                      brk              39         11
                 readlink              10        245
                    lstat               6       3185
------------
