targets: 21612,21617,21618,21619,21620,21621,21622,21623,21624,21625,21626,21627,21628,21629,21630,21631,21632,21633,21634,21635,21636,21637,21638,21639,21640,21641,21642,21643,21644,21645,21646,21647,21648,21649,21650,21651
                  SYSCALL      TIME IN MS      COUNT
                    futex          512789        971
          sync_file_range          401463        734
                fdatasync          141590        222
                    write           15926       7033
                    fsync            9236        127
                    pread            5195        635
                   openat              85        494
                   munmap              35         26
                    lstat               6       3211
                 mprotect               1        255
------------
