targets: 19948,19953,19954,19955,19956,19957,19958,19959,19960,19961,19962,19963,19964,19965,19966,19967,19968,19969
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          387986        850
                fdatasync          108031        223
                    write           16051       7078
                    fsync            2902        125
                    pread            1876        625
                   openat            1090        486
                   munmap              13         11
                    lstat               6       3159
                     read               2        243
                 readlink               1        243
------------
