targets: 20753,20758,20759,20760,20761,20762,20763,20764,20765,20766,20767,20768,20769,20770,20771,20772,20773,20774,20775,20776,20777,20778,20779,20780,20781,20782,20783,20784
                  SYSCALL      TIME IN MS      COUNT
                    futex          584316        910
          sync_file_range          329587        876
                fdatasync           77557        224
                    write           14993       7274
                    fsync            7308        126
                    pread            2490        630
                   openat              37        500
                   munmap              15         14
                 mprotect               9        295
                    lstat               7       3250
------------
