targets: 21668,21673,21674,21675,21676,21677,21678,21679,21680,21681,21682,21683,21684,21685,21686,21687,21688,21689,21690,21691,21692,21693,21694,21695,21696,21697,21698,21699,21700,21701,21702,21703,21704,21705,21706,21707,21708,21709,21710,21711
                  SYSCALL      TIME IN MS      COUNT
                    futex          927305        940
          sync_file_range          362941        897
                fdatasync           72622        233
                    fsync           18932        134
                    write           17407       7443
                    pread            3978        665
                   openat             341        522
                   munmap              42         77
                 mprotect              18        313
                   unlink               7          1
------------
