targets: 21068,21073,21074,21075,21076,21077,21078,21079,21080,21081,21082,21083,21084,21085,21086,21087,21088,21089,21090,21091,21092,21093,21094,21095,21096,21097,21098,21099,21100,21101,21102,21103
                  SYSCALL      TIME IN MS      COUNT
                    futex          765468        882
          sync_file_range          345053        850
                fdatasync           64929        219
                    write            9128       7083
                    fsync            2216        125
                    pread             440        625
                   openat              19        486
                    lstat              19       3159
                     read              13        243
                   munmap              10          8
------------
