targets: 22285,22290,22291,22292,22293,22294,22295,22296,22297,22298,22299,22300,22301,22302,22303,22304,22305,22306,22307,22308,22309,22310,22311,22312,22313,22314,22315,22316,22317,22318,22319,22320,22321,22322,22323,22324,22325,22326,22327,22328,22329,22330,22331,22332,22333,22334,22335,22336
                  SYSCALL      TIME IN MS      COUNT
                    futex          343692        914
          sync_file_range          339107        830
                fdatasync           68105        215
                    write           15192       6884
                    fsync            5158        122
                    pread            3695        610
                   openat              25        478
                   munmap              18         11
                    lstat               6       3107
                 mprotect               1        249
------------
