targets: 21952,21957,21958,21959,21960,21961,21962,21963,21964,21965,21966,21967,21968,21969,21970,21971,21972,21973,21974,21975,21976,21977,21978,21979,21980,21981,21982,21983,21984,21985,21986,21987,21988,21989,21990,21991,21992,21993,21994,21995,21996,21997,21998,21999
                  SYSCALL      TIME IN MS      COUNT
                    futex          740479        896
          sync_file_range          456967        829
                fdatasync           64636        217
                    write            8827       6864
                    fsync            4754        122
                    pread            1162        610
                   openat              28        476
                   munmap              19         14
                    lstat               7       3094
                 readlink               1        238
------------
