targets: 20221,20226,20227,20228,20229,20230,20231,20232,20233,20234,20235,20236,20237,20238,20239,20240,20241,20242,20243,20244
                  SYSCALL      TIME IN MS      COUNT
                    futex          337852        963
          sync_file_range          304058        876
                fdatasync           48693        229
                    write           13428       7274
                    fsync            3691        126
                    pread            1239        630
                   openat              35        500
                   munmap              19         17
                    lstat               8       3250
                 mprotect               4        241
------------
