targets: 21343,21348,21349,21350,21351,21352,21353,21354,21355,21356,21357,21358,21359,21360,21361,21362,21363,21364,21365,21366,21367,21368,21369,21370,21371,21372,21373,21374,21375,21376,21377,21378,21379,21380,21381,21382
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          373019        873
                    futex          284216        926
                fdatasync           82835        216
                    fsync           21887        129
                    write           13144       7261
                    pread            5818        645
                   munmap              61         45
                   openat              25        502
                    lstat               6       3263
                  madvise               6         36
------------
