targets: 11193,11198,11199,11200,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224
                  SYSCALL      TIME IN MS      COUNT
                    futex          678701        888
          sync_file_range          296274        704
                fdatasync          121214        209
                    write           18858       6713
                    fsync            9921        120
                    pread            1676        600
                   openat              52        470
                   munmap              15          7
                    lstat               6       3055
                 readlink               1        235
------------
