targets: 11752,11757,11758,11759,11760,11761,11762,11763,11764,11765,11766,11767,11768,11769,11770,11771,11772,11773,11774,11775,11776,11777,11778,11779,11780,11781,11782,11783,11784,11785,11786,11787,11788,11789,11790,11791,11792,11793,11794,11795
                  SYSCALL      TIME IN MS      COUNT
                    futex          950212        866
          sync_file_range          330994        708
                fdatasync          110371        207
                    fsync           12115        121
                    write            9328       6737
                    pread            2730        605
                   munmap              40         26
                   openat               7        474
                    lstat               6       3081
                 readlink               1        237
------------
