targets: 12141,12146,12147,12148,12149,12150,12151,12152,12153,12154,12155,12156,12157,12158,12159,12160,12161,12162,12163,12164,12165,12166,12167,12168,12169,12170,12171,12172,12173,12174,12175,12176,12177,12178,12179,12180,12181,12182,12183,12184,12185,12186,12187,12188,12189,12190,12191,12192
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          364495        747
                    futex          306405        969
                fdatasync          129917        216
                    write           14123       7109
                    fsync           11546        126
                    pread            1689        630
                   openat             313        498
                   munmap              26         16
                    lstat              18       3237
                 mprotect               1        287
------------
