targets: 5980,5985,5986,5987,5988,5989,5990,5991,5992,5993,5994,5995,5996,5997,5998,5999,6000,6001,6002,6003,6004,6005,6006,6007,6008,6009,6010,6011,6012,6013,6014,6015,6016,6017,6018,6019
                  SYSCALL      TIME IN MS      COUNT
                    futex          889164        915
          sync_file_range          303333        709
                fdatasync          130684        212
                    write           16551       6764
                    fsync           12280        121
                    pread            4202        605
                   openat              36        474
                   munmap              12         10
                    lstat               6       3081
                 readlink               1        237
------------
