targets: 25530,25535,25536,25537,25538,25539,25540,25541,25542,25543,25544,25545,25546,25547,25548,25549,25550,25551,25552,25553,25554,25555,25556,25557,25558,25559,25560,25561,25562,25563,25564,25565
                  SYSCALL      TIME IN MS      COUNT
                    futex          690236        903
          sync_file_range          331075        865
                fdatasync           82383        226
                    write           14267       7199
                    fsync            4043        128
                    pread            3796        640
                   openat              62        498
                   munmap              25         28
                    lstat               6       3237
                 mprotect               6        284
------------
