targets: 11945,11950,11951,11952,11953,11954,11955,11956,11957,11958,11959,11960,11961,11962,11963,11964,11965,11966,11967,11968,11969,11970,11971,11972,11973,11974,11975,11976,11977,11978,11979,11980,11981,11982,11983,11984,11985,11986,11987,11988,11989,11990,11991,11992
                  SYSCALL      TIME IN MS      COUNT
                    futex          872057        936
          sync_file_range          311279        747
                fdatasync           98359        222
                    write           16283       7127
                    fsync           14094        126
                    pread            5437        630
                   openat             996        498
                   munmap              30         22
                 mprotect              13        290
                    lstat               7       3237
------------
