targets: 21319,21324,21325,21326,21327,21328,21329,21330,21331,21332,21333,21334,21335,21336,21337,21338,21339,21340,21341,21342,21343,21344,21345,21346,21347,21348,21349,21350,21351,21352,21353,21354,21355,21356,21357,21358,21359,21360,21361,21362
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          370871        859
                    futex          319059        875
                fdatasync           91505        216
                    write           19250       7145
                    fsync           15672        127
                    pread            2057        635
                   openat              31        494
                   munmap              12         12
                    lstat              11       3211
                fallocate              11          4
------------
