targets: 20123,20128,20129,20130,20131,20132,20133,20134,20135,20136,20137,20138,20139,20140,20141,20142,20143,20144,20145,20146
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          432875        839
                    futex          159843        854
                fdatasync           73834        209
                    fsync           15644        124
                    write           10801       6952
                    pread            3812        620
                   openat              25        486
                   munmap              17         15
                    lstat               6       3159
                 readlink               1        243
------------
