targets: 21583,21588,21589,21590,21591,21592,21593,21594,21595,21596,21597,21598,21599,21600,21601,21602,21603,21604,21605,21606,21607,21608,21609,21610,21611,21612,21613,21614,21615,21616,21617,21618,21619,21620,21621,21622,21623,21624,21625,21626,21627,21628,21629,21630
                  SYSCALL      TIME IN MS      COUNT
                    futex          981946        898
          sync_file_range          514981        841
                fdatasync          102288        216
                    fsync           16256        123
                    write           15726       6978
                    pread            3873        615
                   munmap              23         17
                   openat              20        482
                    lstat               7       3133
                 readlink               1        241
------------
