targets: 30755,30760,30761,30762,30763,30764,30765,30766,30767,30768,30769,30770,30771,30772,30773,30774,30775,30776,30777,30778,30779,30780,30781,30782,30783,30784,30785,30786,30787,30788,30789,30790,30791,30792,30793,30794,30795,30796,30797,30798
                  SYSCALL      TIME IN MS      COUNT
                    futex          714387        907
          sync_file_range          341865        844
                fdatasync           69216        222
                    write           18111       7005
                    fsync           16962        123
                    pread            4771        615
                   openat              28        482
                   munmap               9          8
                    lstat               6       3133
                  madvise               4         40
------------
