targets: 5794,5799,5800,5801,5802,5803,5804,5805,5806,5807,5808,5809,5810,5811,5812,5813,5814,5815,5816,5817,5818,5819,5820,5821,5822,5823,5824,5825,5826,5827,5828,5829
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          337319        762
                    futex          306466        962
                fdatasync          172357        219
                    fsync           21121        131
                    write           18665       7283
                    pread            8976        655
                   openat            2268        510
                   munmap              40         53
                    lstat               7       3315
                 readlink               1        255
------------
