targets: 5435,5440,5441,5442,5443,5444,5445,5446,5447,5448,5449,5450,5451,5452,5453,5454,5455,5456,5457,5458,5459,5460,5461,5462
                  SYSCALL      TIME IN MS      COUNT
                    futex          612222        892
          sync_file_range          392279        699
                fdatasync           82305        215
                    write           12841       6688
                    pread            1050        600
                    fsync             899        120
                      brk              70         10
                   openat              49        468
                    lstat              18       3042
                 readlink               1        234
------------
