targets: 8616,8621,8622,8623,8624,8625,8626,8627,8628,8629,8630,8631,8632,8633,8634,8635,8636,8637,8638,8639,8640,8641,8642,8643,8644,8645,8646,8647
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          413801        832
                    futex          365070        908
                fdatasync           63909        224
                    write           21364       6923
                    fsync            5828        123
                    pread            1232        615
                   openat              30        478
                   munmap              15         12
                    lstat               6       3107
                 readlink               1        239
------------
