targets: 8355,8362,8363,8364,8365,8366,8367,8368,8369,8370,8371,8372,8373,8374,8375,8376,8377,8378,8379,8380,8381,8382,8383,8384
                  SYSCALL      TIME IN MS      COUNT
                    futex          473320        830
          sync_file_range          412566        828
                fdatasync           77912        221
                    write           13568       6879
                    fsync            9386        122
                    pread            1774        610
                   openat              51        476
                      brk              14          6
                    lstat               6       3094
                 readlink               1        238
------------
