targets: 8919,8924,8925,8926,8927,8928,8929,8930,8931,8932,8933,8934,8935,8936,8937,8938,8939,8940,8941,8942,8943,8944,8945,8946,8947,8948,8949,8950,8951,8952,8953,8954
                  SYSCALL      TIME IN MS      COUNT
                    futex          399088        867
          sync_file_range          371458        859
                fdatasync           93654        223
                    write           10155       7156
                    fsync            9327        126
                    pread            4051        630
                   openat             463        490
                   munmap              17         16
                    lstat               7       3185
                 readlink               2        245
------------
