targets: 1228,1233,1234,1235,1236,1237,1238,1240,1244,1245,1246,1247,1249,1251,1252,1253,1254,1255
                  SYSCALL      TIME IN MS      COUNT
                    futex          570038        907
          sync_file_range          325558        703
                fdatasync          138157        208
                    write           19524       6719
                    fsync           10465        121
                    pread            5681        605
                   openat            2609        472
                   munmap              22         18
                     read              21        236
                    lstat              12       3068
------------
