targets: 1585,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1603,1604,1606,1607,1608,1609,1610,1611,1612,1613,1614
                  SYSCALL      TIME IN MS      COUNT
                    futex          706587        872
          sync_file_range          315378        703
                fdatasync          139884        216
                    write           13779       6737
                    fsync            8885        120
                    pread            3242        600
                   openat             958        470
                      brk              68         10
                 mprotect              14        184
                    lstat               6       3055
------------
