targets: 29748,29753,29754,29755,29756,29757,29758,29759,29760,29761,29762,29763,29764,29765,29766,29767,29768,29769,29770,29771,29772,29773,29774,29775
                  SYSCALL      TIME IN MS      COUNT
                    futex          979943        865
          sync_file_range          383680        843
                fdatasync          100411        220
                    fsync           27966        124
                    write           19751       6985
                    pread            4319        620
                   openat            1010        484
                      brk              14          7
                    lstat               6       3146
                 readlink               1        242
------------
