targets: 27941,27946,27947,27948,27949,27950,27951,27952,27953,27954,27955,27956,27957,27958,27959,27960,27961,27962,27963,27964,27965,27966,27967,27968,27969,27970,27971,27972,27973,27974,27975,27976
                  SYSCALL      TIME IN MS      COUNT
                    futex          788928        894
          sync_file_range          349717        700
                fdatasync          129598        208
                    write           17371       6706
                    fsync            3885        121
                    pread            3156        605
                   openat            1767        470
                fallocate             299          4
                    lstat               6       3055
                   munmap               5          6
------------
