targets: 29397,29402,29403,29404,29405,29406,29407,29408,29409,29410,29411,29412,29413,29414,29415,29416,29417,29418,29419,29420,29421,29422,29423,29424,29425,29426,29427,29428,29429,29430,29431,29432,29433,29434,29435,29436,29437,29438,29439,29440,29441,29442,29443,29444,29445,29446,29447,29448,29449,29450,29451,29452,29453,29454,29455,29456
                  SYSCALL      TIME IN MS      COUNT
                    futex          656673        930
          sync_file_range          379758        695
                fdatasync          119148        206
                    write           19663       6628
                    fsync            5962        119
                    pread            1787        595
                   openat             577        466
                   munmap              34         25
                 mprotect               7        256
                    lstat               6       3029
------------
