targets: 28531,28536,28537,28538,28539,28540,28541,28542,28543,28544,28545,28546,28547,28548,28549,28550,28551,28552,28553,28554,28555,28556,28557,28558,28559,28560,28561,28562,28563,28564,28565,28566,28567,28568,28569,28570,28571,28572,28573,28574
                  SYSCALL      TIME IN MS      COUNT
                    futex          908902        959
          sync_file_range          305981        749
                fdatasync          151298        225
                    write           22347       7178
                    fsync            7582        129
                    pread            5596        645
                   openat             638        502
                   munmap              30         42
                    lstat               6       3263
                 mprotect               1        275
------------
