targets: 28215,28220,28221,28222,28223,28224,28225,28226,28227,28228,28229,28230,28231,28232,28233,28234,28235,28236,28237,28238,28239,28240,28241,28242,28243,28244,28245,28246,28247,28248,28249,28250,28251,28252,28253,28254
                  SYSCALL      TIME IN MS      COUNT
                    futex          693349        926
          sync_file_range          299038        708
                fdatasync           96142        213
                    write           11957       6781
                    fsync            6864        123
                    pread             968        615
                   openat              78        478
                   munmap              28         14
                    lstat               6       3107
                 readlink               1        239
------------
