targets: 27053,27058,27059,27060,27061,27062,27063,27064,27065,27066,27067,27068,27069,27070,27071,27072,27073,27074,27075,27076
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          423800        752
                    futex          262462        938
                fdatasync          134470        222
                    fsync           25123        130
                    write           22547       7185
                    pread            5557        650
                   openat              28        506
                   munmap              25         46
                   unlink              22          5
                    lstat               7       3289
------------
