targets: 27363,27368,27369,27370,27371,27372,27373,27374,27375,27376,27377,27378,27379,27380,27381,27382,27383,27384,27385,27386,27387,27388,27389,27390
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          344226        696
                    futex          157000        824
                fdatasync           98358        214
                    write           23274       6671
                    fsync           16753        120
                    pread            3841        600
                   openat            2471        466
                      brk              29          8
                    lstat               6       3029
                 readlink               1        233
------------
