targets: 26502,26507,26508,26509,26510,26511,26512,26513,26514,26515,26516,26517,26518,26519,26520,26521
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          346987        701
                    futex          175644        903
                fdatasync          130977        213
                    fsync           16977        122
                    write           13461       6722
                    pread            2076        610
                   openat              39        474
                   munmap              14         11
                    lstat               7       3081
                      brk               2          1
------------
