targets: 27674,27679,27680,27681,27682,27683,27684,27685,27686,27687,27688,27689,27690,27691,27692,27693,27694,27695,27696,27697,27698,27699,27700,27701,27702,27703,27704,27705
                  SYSCALL      TIME IN MS      COUNT
                    futex          559273        891
          sync_file_range          277250        709
                fdatasync          108947        213
                    write           28432       6770
                    fsync           26684        121
                    pread            2908        605
                   munmap              60         27
                   openat              40        474
                    lstat               6       3081
                 readlink               1        237
------------
