targets: 15282,15287,15288,15289,15290,15291,15292,15293,15294,15295,15296,15297,15298,15299,15300,15301,15302,15303,15304,15305,15306,15307,15308,15309,15310,15311,15312,15313,15314,15315,15316,15317,15318,15319,15320,15321
                  SYSCALL      TIME IN MS      COUNT
                    futex          393054        938
          sync_file_range          316884        882
                fdatasync           77558        237
                    write           13816       7344
                    fsync            6474        131
                    pread            3405        655
                   munmap              35         60
                   openat              30        510
                    lstat               6       3315
                 mprotect               2        292
------------
