targets: 14411,14416,14417,14418,14419,14420,14421,14422,14423,14424,14425,14426,14427,14428,14429,14430,14431,14432,14433,14434,14435,14436,14437,14438
                  SYSCALL      TIME IN MS      COUNT
          sync_file_range          332156        906
                    futex          298587        876
                fdatasync           54775        233
                    write           16287       7532
                    fsync            8521        134
                    pread            1042        665
                   munmap              32         69
                      brk              23          9
                   openat              16        523
                    lstat               7       3393
------------
