targets: 15580,15585,15586,15587,15588,15589,15590,15591,15592,15593,15594,15595,15596,15597,15598,15599,15600,15601,15602,15603,15604,15605,15606,15607,15608,15609,15610,15611,15612,15613,15614,15615,15616,15617,15618,15619,15620,15621,15622,15623
                  SYSCALL      TIME IN MS      COUNT
                    futex          464606        913
          sync_file_range          383196        860
                fdatasync           91440        217
                    write           15627       7155
                    fsync            8883        127
                    pread            2625        635
                   openat              16        494
                   munmap               8         14
                    lstat               6       3211
                 mprotect               5        268
------------
