targets: 15889,15894,15895,15896,15897,15898,15899,15900,15901,15902,15903,15904,15905,15906,15907,15908,15909,15910,15911,15912,15913,15914,15915,15916,15917,15918,15919,15920,15921,15922,15923,15924,15925,15926,15927,15928,15929,15930,15931,15932,15933,15934,15935,15936
                  SYSCALL      TIME IN MS      COUNT
                    futex          877704        891
          sync_file_range          337808        880
                fdatasync           48201        223
                    write           17866       7296
                    fsync            4701        128
                    pread            2253        640
                   openat              27        506
                   munmap              26         34
                    lstat               6       3289
                 mprotect               1        317
------------
